date_reported,report_number,location,occurred_from,incident,synopsis,disposition
"Monday, March 13, 2023 at 6:38",Report #  NA,NA,"Sunday, March 12, 2023 at 0:00  to  Sunday, March 12, 2023 at 23:59",na," no incidents were reported on march 12, 2023",na
"Monday, March 13, 2023 at 6:36",Report #  NA,NA,"Saturday, March 11, 2023 at 0:00  to  Saturday, March 11, 2023 at 23:59",na," no incidents were reported on march 11, 2023.",na
"Monday, March 13, 2023 at 6:28",Report #  2300148,"22 S. Greene St. (UMMC Adult ER), Baltimore, MD 21201","Friday, March 10, 2023 at 0:47  to  Friday, March 10, 2023 at 0:47",disorderly person, a person in the er waiting and treatment area was acting in a disorderly manner.,a criminal summons was issued.
"Friday, March 10, 2023 at 6:56",Report #  NA,NA,"Thursday, March 09, 2023 at 0:00  to  Thursday, March 09, 2023 at 23:59",na," no incidents were reported on march 9, 2023",na
"Thursday, March 09, 2023 at 6:53",Report #  23-00145,"120 Penn St. (Penn Garage), Baltimore, MD 21201","Wednesday, March 08, 2023 at 6:30  to  Wednesday, March 08, 2023 at 16:35",malicious destruction of property, unknown persons damaged a staff member's vehicle.,report written.
"Wednesday, March 08, 2023 at 6:50",Report #  NA,NA,"Tuesday, March 07, 2023 at 0:00  to  Tuesday, March 07, 2023 at 23:59",na," no incidents were reported on march 7, 2023",na
"Tuesday, March 07, 2023 at 6:47",Report #  23-00140,"22 S. Greene St. (UMMC Adult ER), Baltimore, MD 21201","Monday, March 06, 2023 at 8:36  to  Monday, March 06, 2023 at 8:36",disorderly person, a person became disorderly while in the er area.,criminal citation issued
"Monday, March 06, 2023 at 6:46",Report #  NA,NA,"Sunday, March 05, 2023 at 0:00  to  Sunday, March 05, 2023 at 23:59",na," no incidents were reported on march 5, 2023",na
"Monday, March 06, 2023 at 6:44",Report #  NA,NA,"Saturday, March 04, 2023 at 0:00  to  Saturday, March 04, 2023 at 23:59",na," no incidents were reported on march 4, 2023",na
"Monday, March 06, 2023 at 6:41",Report #  NA,NA,"Friday, March 03, 2023 at 0:00  to  Friday, March 03, 2023 at 23:59",na," no incidents were reported on march 3, 2023",na
"Friday, March 03, 2023 at 7:26",Report #  NA,NA,"Thursday, March 02, 2023 at 0:00  to  Thursday, March 02, 2023 at 23:59",na," no incidents were reported on march 2, 2023",na
"Thursday, March 02, 2023 at 7:45",Report #  NA,NA,"Wednesday, March 01, 2023 at 0:00  to  Wednesday, March 01, 2023 at 23:59",na," no incidents were reported on march 1, 2023",na
"Wednesday, March 01, 2023 at 7:49",Report #  23-00130,"22 S. Greene St., (UMMC Pediatric ER), Baltimore, MD 21201","Tuesday, February 28, 2023 at 13:40  to  Tuesday, February 28, 2023 at 13:40",theft, unknown persons took a medical device from the ummc pediatric er.,report written
"Wednesday, March 01, 2023 at 7:43",Report #  23-00129,"600 Blk. W. Lombard St., Baltimore, MD 21201","Monday, February 27, 2023 at 22:10  to  Tuesday, February 28, 2023 at 7:00",theft from auto, a ummc staff member reports items taken from their vehicle.,report written
